global_step,precision,recall,f1_score,train_loss,eval_loss,accuracy
2000,0.34516328525545115,0.15278918412942308,0.2118162675676999,1.1197794675827026,0.9930352061555006,0.72279129827
4000,0.44055084692080626,0.3070795913141,0.36190119370986706,0.9012529850006104,0.8336530440095542,0.7504195674407769
5514,0.4688291577360503,0.40370537172932064,0.4338369268144549,0.5819761157035828,0.7620620147905488,0.7639760382566528
6000,0.48104751185786637,0.42272675091177225,0.4500054053291846,0.7558347582817078,0.7346592816753664,0.7691174670368074
8000,0.5183092376027706,0.47709751768352454,0.4968502561178602,0.5680763125419617,0.671044509307198,0.7824093635606171
10000,0.5531264092860925,0.49822943986718593,0.5242446908842564,0.7903761863708496,0.6278949233500853,0.7942204338228616
11028,0.5453885991331815,0.524500843334128,0.5347408224357963,0.6684740781784058,0.6222526818945788,0.7933378613709687
12000,0.5719212822073443,0.5227700214586589,0.546242214532872,0.5600228905677795,0.6068778756735982,0.8014448915442846
14000,0.583443868906424,0.5321482501920682,0.5566167573409198,0.5503010749816895,0.5819558649823285,0.8064184933481284
16000,0.5900103276687635,0.5549403484603633,0.5719382391889002,0.5343076586723328,0.5678403264370517,0.8104068520792775
16542,0.5924026195253057,0.5527856518398813,0.5719088753774401,0.7185026407241821,0.5641634366650512,0.8116092830036685
18000,0.603461908527117,0.5593910332829982,0.5805913515297051,0.4919479191303253,0.5500364948010099,0.8155166898991854
20000,0.6127505914580998,0.5649278971397286,0.5878682619323299,0.5703825354576111,0.5385664654814679,0.8194142246196251
22000,0.6176933011398731,0.5828542665642302,0.5997682818782798,0.5449092388153076,0.5262743857459745,0.8226779657001149
22056,0.6030663787102647,0.5967449951872555,0.5998890343771499,0.5580570101737976,0.5322973928589751,0.8194991253252881
24000,0.6357363391325656,0.5727695799224662,0.6026125816431763,0.4735613763332367,0.5169305870930354,0.8263583125688584
26000,0.6448785126340918,0.5749242765429482,0.6078954985574095,0.4689013659954071,0.5049841056699338,0.8296615423496566
27570,0.6481326904380788,0.582827774392667,0.613747954173486,0.6009200811386108,0.4976352723180384,0.8318452674767115
28000,0.6282513661202186,0.6091609929265902,0.6185589196605109,0.5500167608261108,0.5060147176186244,0.8294917409383304
30000,0.6491861876499316,0.5998269178124531,0.6235312477050745,0.5435271859169006,0.4917576469373012,0.8348582553102429
32000,0.6584740872592839,0.5945461449475014,0.6248793436293437,0.46136394143104553,0.48383773535058117,0.8372216540237011
33084,0.6483204689060414,0.6134085711005731,0.6303815158995207,0.39526352286338806,0.48298270685085354,0.8354565091199153
34000,0.6581195764364082,0.6081101367879125,0.6321273011836955,0.43499767780303955,0.47659779489040377,0.838799227601022
36000,0.6585577592703892,0.6096025291193119,0.6331352263555654,0.47335541248321533,0.4743124368398086,0.8393027085299541
38000,0.6512123780104426,0.6310965109810052,0.6409966634377355,0.4485999047756195,0.4696359566588333,0.8399522976500274
38598,0.6523735344756908,0.632394627387607,0.6422287390029325,0.5548500418663025,0.46580695479676343,0.8403787756133583
40000,0.6655226533545118,0.6216034828374882,0.6428137656443342,0.4786856174468994,0.4642070999611979,0.84306400723433
42000,0.6629608337660411,0.6313879248682015,0.6467893020457824,0.43255001306533813,0.46096786947354024,0.8433187093513191
44000,0.661060790245775,0.6386909334958186,0.6496833595328992,0.40029388666152954,0.4542896938064824,0.8441302021426569
44112,0.6660240111021077,0.6314762321067457,0.6482901798665507,0.4654090702533722,0.45209052713884823,0.8447422769974372
46000,0.667952808488536,0.635953409100944,0.6515604572576303,0.43779104948043823,0.45230862606262817,0.8461717679486015
48000,0.6865109780826437,0.6248443584920655,0.6542277287226665,0.445964515209198,0.44890750590441886,0.8489261047951129
49626,0.6682677029517783,0.6499501064102224,0.6589816365085192,0.4559325873851776,0.4410392444634783,0.8488194853042802
50000,0.670887827193743,0.6423380224477,0.6563025854563007,0.42186111211776733,0.44524666567643484,0.8482054360144845
52000,0.6882492387156458,0.6306991284075556,0.6582186320635169,0.37855514883995056,0.4396335844544397,0.851251989243278
54000,0.6869118823574232,0.6368982965533685,0.6609603321160024,0.35561949014663696,0.437866217934567,0.8522234112708649
55140,0.6865405481907817,0.6425499598202065,0.663817247954166,0.3697397708892822,0.4318831659313561,0.8533784557548857
56000,0.678615380344767,0.6476452874842151,0.6627687358233099,0.3905676305294037,0.4383482577576154,0.8517436235621177
58000,0.6815752981418138,0.6510539468920268,0.6659651056180588,0.4043450653553009,0.43771815053794694,0.853013185277033
60000,0.6850334864670393,0.6557607227064403,0.6700775571527186,0.4794347584247589,0.42722403048605156,0.8549540548971911
60654,0.6809864684720878,0.658621877235277,0.6696174858481885,0.3618175685405731,0.4299528868302055,0.8540319937449898
62000,0.6827039192007904,0.6589927676371632,0.670638825606945,0.2771598994731903,0.4335237305233444,0.8546065543344772
64000,0.6880647398843931,0.6569793625983522,0.672162843435758,0.256531298160553,0.4299121391945991,0.855540462096771
66000,0.6904074875608087,0.6592223664573785,0.6744546386769482,0.39620548486709595,0.42580568462178325,0.8573332490907727
66168,0.6948802642444261,0.6539327628685724,0.673784967858459,0.34141016006469727,0.42463507790496385,0.8577004940036409
68000,0.6937790088336577,0.6547098665677625,0.6736784716385361,0.3716452121734619,0.43412705798080004,0.8573510190059115
70000,0.6942488153860448,0.6598493478510433,0.6766121401179874,0.35623490810394287,0.42194717336392057,0.8587232513416286
71682,0.6946702552272145,0.6701018182460416,0.6821648979445066,0.3674009144306183,0.41602926902149034,0.8597993184250327
72000,0.6922072943667628,0.6697309278441553,0.6807836448912726,0.40074461698532104,0.4280551927677099,0.8600086085366673
74000,0.6912645281685675,0.6738548758841763,0.6824486875642803,0.2823296785354614,0.4253755201032196,0.860186307688055
76000,0.6862516864633211,0.6872334225236443,0.686742203632128,0.38557738065719604,0.4219509192566941,0.8609267208188377
77196,0.6984858398842493,0.6692982223752881,0.6835806087936867,0.3586462438106537,0.4149392039015673,0.8618033699656843
78000,0.6907265474429654,0.6804425958795842,0.6855460061566933,0.21836765110492706,0.43017991530722466,0.8614183551376774
80000,0.6919527020353927,0.6805750567374008,0.6862167215742143,0.25727179646492004,0.42513923178548396,0.8617184692600213
82000,0.6943689424555631,0.6858028452592259,0.6900593109269831,0.30844759941101074,0.4160660071865372,0.8637659583710121
82710,0.7068717096148518,0.675841788751424,0.6910085729376871,0.23373587429523468,0.4112480320792267,0.8656041573703684
84000,0.6954197447951646,0.6858028452592259,0.690577815717868,0.24482423067092896,0.43358972171942395,0.863769907241043
86000,0.7030860786782489,0.6854407855811941,0.6941513146127706,0.23828156292438507,0.42097825356151747,0.8659358624529591
88000,0.7089713334430968,0.6844605752333519,0.696500379660956,0.27139338850975037,0.4204002909470296,0.8673238902687996
