global_step,precision,recall,f1_score,train_loss,eval_loss,accuracy
2000,0.3946113316852698,0.27666316526610646,0.32527504193810663,0.9296296238899231,0.9988899553707072,0.7113203541644776
4000,0.5005449705506299,0.4180759803921569,0.4556086579095479,0.7840207815170288,0.8245077676301092,0.7444423238988114
5490,0.5547942182500276,0.4401348039215686,0.49085761702543074,0.7391793131828308,0.7433576410340776,0.7612927989844255
6000,0.5611382131027841,0.464171918767507,0.5080698863173628,0.794888436794281,0.724647719353394,0.7649896962925953
8000,0.5822367464096273,0.525577731092437,0.5524583300745757,0.6131859421730042,0.6716912990487472,0.7767108335817231
10000,0.6006108550073037,0.5542717086834734,0.5765116130853205,0.5842147469520569,0.6310424757836688,0.7864998917092145
10980,0.6032974645545652,0.5717436974789916,0.5870969191703558,0.6459693908691406,0.6217665015957068,0.7889208876842284
12000,0.6048167596843813,0.5777048319327731,0.5909499952990478,0.731361448764801,0.6105481388787515,0.7915391658821839
14000,0.6215708311070988,0.5906337535014006,0.6057075145650243,0.6621794104576111,0.5911873261047069,0.7972110297917601
16000,0.6255659482174326,0.6059348739495798,0.615593943840459,0.5418806076049805,0.5775221150688382,0.8008714727761255
16470,0.6197276154903274,0.6158000700280112,0.6177576002388521,0.5225456953048706,0.5744628495871587,0.8005605388377933
18000,0.6429550971998295,0.6073967086834734,0.6246702856474103,0.6512538194656372,0.5630910316322221,0.8058121058376239
20000,0.6264662094129999,0.637219887955182,0.6317972930164338,0.6123589873313904,0.5567793171565432,0.8053574989760623
21960,0.6472066937708727,0.6242734593837534,0.635533257289513,0.5041033029556274,0.5408812425108803,0.8117841818255896
22000,0.6526837736267186,0.6187412464985994,0.635259437671599,0.5523567199707031,0.5427815680767598,0.811475392259246
24000,0.662030222288472,0.62203256302521,0.6414084430764786,0.5357025861740112,0.5314257868078945,0.815504667225633
26000,0.6552957676466411,0.6462097338935574,0.6507210351879276,0.5708433985710144,0.5238365878444572,0.8171901436085921
27450,0.6492977046933881,0.6636204481792717,0.6563809523809524,0.5455363988876343,0.5199091905155904,0.816789146046743
28000,0.664733549477145,0.6371235994397759,0.6506357968131941,0.44092246890068054,0.515233498039551,0.8196861926032033
30000,0.6667208642711325,0.6460959383753502,0.6562463880220141,0.45156213641166687,0.5053745828341188,0.8225532179518246
32000,0.6613745087616874,0.664390756302521,0.6628792014008672,0.46243807673454285,0.503918438065347,0.8227097571069849
32940,0.6912579794350369,0.6331932773109243,0.6609528334643007,0.5414999723434448,0.49393292606484246,0.8278219399275631
34000,0.6817351345365962,0.6467174369747899,0.6637647566168939,0.44867831468582153,0.4924191992616029,0.8277039994681957
36000,0.6750378947557246,0.6588060224089636,0.6668231937731746,0.5313718318939209,0.48831857222483493,0.8279527466188614
38000,0.6909236231156713,0.6507528011204482,0.6702368394954877,0.5427674651145935,0.48032828601513716,0.8311199840458724
38430,0.6863968946759365,0.6594012605042017,0.6726283221794122,0.5393903851509094,0.4793517097201757,0.8305388592369896
40000,0.68808611269673,0.6647584033613445,0.6762211329121531,0.4453223645687103,0.47960195283702367,0.8331078168792097
42000,0.6853225863848261,0.6743084733893557,0.6797709182682974,0.4786006212234497,0.47294161400420176,0.8339183894908617
43920,0.6834820567661857,0.6825367647058823,0.6830090836625466,0.46680471301078796,0.46829524349958096,0.8347525501943873
44000,0.6864224810000267,0.6743872549019608,0.6803516471871316,0.45337215065956116,0.4693379802127766,0.8350849278526045
46000,0.6806443562890998,0.6923757002801121,0.6864599108696502,0.4278792142868042,0.4668712062866927,0.8350977940845354
48000,0.7013696389133773,0.675516456582633,0.6882003308526813,0.4776999056339264,0.458914584771688,0.8401091914216543
49410,0.6786447551856702,0.7030899859943978,0.6906511317956103,0.47844842076301575,0.4610188448967024,0.8363350967218985
50000,0.6951514075126543,0.6852328431372549,0.6901564910733965,0.4261912703514099,0.4609851710487488,0.8398904654788275
52000,0.6944753559693319,0.6937762605042017,0.6941256322115912,0.3824048340320587,0.4537435530575082,0.8406602950226981
54000,0.6999081660856463,0.6871586134453781,0.6934747944999756,0.44706565141677856,0.44502275527130913,0.8430319704419765
54900,0.7067954714812853,0.6891193977591037,0.6978455210683309,0.4309487044811249,0.4498394640946145,0.8446252388294302
56000,0.7052740342219886,0.693093487394958,0.6991307111921485,0.32948920130729675,0.44825377227437546,0.8446981474770391
58000,0.7030525896061318,0.6945290616246499,0.6987648341002665,0.3676944971084595,0.4467371108316785,0.8444665553022814
60000,0.716303033584177,0.6948967086834734,0.7054375161063866,0.41445812582969666,0.43076069503371894,0.8492849591604354
60390,0.7254491605392729,0.6796831232492997,0.7018208276653726,0.39593786001205444,0.4292545867365347,0.8507023890448324
62000,0.7116221531998967,0.6999299719887955,0.7057276382042602,0.30582195520401,0.4393475361092469,0.8490490782417007
64000,0.7209768758848514,0.6954044117647059,0.7079597911134082,0.28643202781677246,0.4278954798043902,0.8517102438794263
65880,0.7143296216937721,0.7120535714285714,0.713189780637921,0.3684091567993164,0.4294114225642997,0.851489373564611
66000,0.7145702075164119,0.7098476890756302,0.7122011197716545,0.380444198846817,0.4362129536518363,0.8519890122379309
68000,0.7249039570599508,0.6986782212885154,0.7115495192714857,0.37559768557548523,0.4316988547903308,0.8545493923921971
70000,0.7194942896580828,0.7163515406162465,0.7179194757457859,0.35320067405700684,0.41620520230116975,0.855083341017333
71370,0.7260301935690006,0.7160714285714286,0.721016424797169,0.39014190435409546,0.41449143029369817,0.8574335727167263
72000,0.7211137831100306,0.7165878851540616,0.7188437103480372,0.2778373658657074,0.43118223530583333,0.8558810473970541
74000,0.7190930110623082,0.7323179271708683,0.7256452179494407,0.3395548164844513,0.4269684309348616,0.857750939771024
76000,0.7269598201742062,0.724719887955182,0.7258381259643709,0.23330368101596832,0.4157649341108497,0.8597838044161197
76860,0.728860930285534,0.728203781512605,0.7285322077091826,0.3328997790813446,0.41941051178624017,0.8605107465202203
78000,0.7293450295478693,0.7270658263305322,0.7282036445251027,0.27735769748687744,0.4244170487360836,0.860733761207024
80000,0.7253961544765241,0.7361081932773109,0.7307129171427702,0.2279069870710373,0.4121077531810411,0.8620032294242147
82000,0.7323814273340508,0.7327468487394958,0.7325640924664277,0.22585593163967133,0.4122235439446642,0.8633070075932212
82350,0.7297410520252402,0.731906512605042,0.7308221782282065,0.27041536569595337,0.41266550798256496,0.8625007237255461
84000,0.7397702255853543,0.7265406162464986,0.7330957396538551,0.19469290971755981,0.4232952028209292,0.8652819741946275
86000,0.7394572467092494,0.7336834733893557,0.7365590452923704,0.3103754222393036,0.41291787378826167,0.8666264954314155
87840,0.7376922206654076,0.741999299719888,0.7398394916800133,0.24674583971500397,0.40662184080008684,0.8679495729483185
88000,0.7347495162330682,0.7478378851540616,0.7412359282476194,0.23078835010528564,0.4206875542279067,0.8682154750748922
90000,0.7426904182302332,0.7397584033613446,0.7412215112990016,0.19207382202148438,0.41586563893454215,0.8693112491610144
92000,0.7446916341902449,0.7460084033613446,0.7453494372097498,0.1477154791355133,0.40676006574991663,0.870554984914343
93330,0.7462670955257447,0.749422268907563,0.7478413542799492,0.17179377377033234,0.39716109637783775,0.8728280192221505
94000,0.7394011521611645,0.7505077030812325,0.7449130306347632,0.17198972404003143,0.41583365622739776,0.8708659188526752
96000,0.7425699074791957,0.7545430672268908,0.7485086096855705,0.23437775671482086,0.4145618309707447,0.8721911407415667
98000,0.7437393796879559,0.7585959383753501,0.7510942009516298,0.18679827451705933,0.4100249990538912,0.8735957043940327
98820,0.7467798948185188,0.7582195378151261,0.7524562394127612,0.16949258744716644,0.39866266522171545,0.8743526677059723
100000,0.7471678903911029,0.7580444677871149,0.7525668823296819,0.18257391452789307,0.41621806152609586,0.8751010535299579
102000,0.7456868293019564,0.7566789215686275,0.7511426634921187,0.19354981184005737,0.41442202949107476,0.8750217117663835
104000,0.7552069671056083,0.7560399159663865,0.7556232119891866,0.16572482883930206,0.3968946770636102,0.8782103929132794
104310,0.752796984121469,0.7586221988795518,0.7556983659161856,0.21174268424510956,0.40462607388239585,0.877303323562145
106000,0.7516150398706247,0.7648459383753501,0.7581727703033958,0.20245656371116638,0.40562443107670226,0.8783647876964513
108000,0.7452120065219778,0.7721463585434174,0.7584401291437562,0.20041953027248383,0.4187030518939922,0.8768958928843305
109800,0.7493860857512,0.7666579131652661,0.7579236131243158,0.1666117161512375,0.41678267700009297,0.8772668692383405
110000,0.7555088381671529,0.770719537815126,0.763038391541728,0.12451029568910599,0.42030573745828875,0.8798079500447101
112000,0.7585851321022851,0.7663077731092437,0.762426897401619,0.17103581130504608,0.41653022115841354,0.8807579068356146
114000,0.7540886241564523,0.7668679971988795,0.7604246232900493,0.15581651031970978,0.40714500738196674,0.8799966547796979
115290,0.7652460334102188,0.7666929271708683,0.765968797005632,0.1678314357995987,0.40433597330443205,0.8830502404913185
116000,0.7654669055649241,0.7628939075630252,0.7641782407407408,0.09581699222326279,0.4221712127219468,0.8820166531928627
118000,0.7605498281786942,0.7749299719887955,0.767672563302116,0.16350257396697998,0.4127738232869422,0.8828744019882617
120000,0.7610134908267544,0.7737570028011205,0.7673323408263271,0.09460863471031189,0.41559060865788133,0.8834190724733401
