global_step,precision,recall,f1_score,train_loss,eval_loss,accuracy
2000,0.42664847021497476,0.275294471832311,0.33465388204724694,0.9661983847618103,0.9149388919989726,0.7330289514660473
4000,0.5396496182869247,0.4602039664320927,0.496770524434334,0.6438435316085815,0.7081759537674852,0.7725739621546014
5550,0.5784612573402992,0.5241786776050879,0.5499838112310571,0.6761625409126282,0.6333503200530318,0.7907840912089942
6000,0.5964982499765812,0.527189252248523,0.5597062630847172,0.7171310782432556,0.6172336097753014,0.7965198420029382
8000,0.6180953481843552,0.5634290445188725,0.5894975568846242,0.6725682020187378,0.5705225313946561,0.8082394236098281
10000,0.6399626501842701,0.5828999360252888,0.6100999279195535,0.5719436407089233,0.535111280528544,0.8175696955301611
11100,0.6543139602045855,0.5883039175102548,0.6195556541933847,0.5747424960136414,0.5205061492813423,0.8221653338963518
12000,0.6430692172598187,0.6145711812742257,0.6284973176006958,0.508675217628479,0.5145013851116301,0.8234268471844677
14000,0.6523176489806078,0.6311669739961615,0.6415680394151985,0.5961629748344421,0.49629140578704195,0.8290957395335744
16000,0.6747977958946928,0.6304444360817371,0.6518675315276055,0.4490438997745514,0.47874452925209354,0.8355986030103895
16650,0.6672091509346229,0.6479810333797463,0.6574545343469478,0.5467454195022583,0.47373450287652635,0.8359205792052642
18000,0.6782390950597975,0.6462273736499454,0.6618463803529652,0.4708441197872162,0.463653452071745,0.8396593738178811
20000,0.6990024978368407,0.6445038196665789,0.6706478026087535,0.41350311040878296,0.4498554413188088,0.8450502757910849
22000,0.6902994705104842,0.6642908215105559,0.6770454580322486,0.46336591243743896,0.4426233700613467,0.8460214826739859
22200,0.6893723196881092,0.6654273134384525,0.6771882120904582,0.5077722668647766,0.4403583410408036,0.8464824540568121
24000,0.7015784294430231,0.6707409776841154,0.6858132286736697,0.4317573010921478,0.431790773136815,0.8509637292936757
26000,0.7006773299145035,0.6828209084408987,0.6916338852803953,0.360495001077652,0.41989590502438007,0.8531137561250253
27750,0.70434271301576,0.6851842095359952,0.6946313845778205,0.40096336603164673,0.4166212506613745,0.8547341936959524
28000,0.7169336676835598,0.6756707936627404,0.6956909211377735,0.4421723186969757,0.4118878857288993,0.8566766074617543
30000,0.7025127301066075,0.698822112670756,0.7006625615020073,0.4449513256549835,0.4100172611152061,0.8567628196669393
32000,0.7241668512833497,0.6888646370375946,0.7060747609478,0.39620786905288696,0.397327081270795,0.8611596421313769
33300,0.7102433716915126,0.7074850412072404,0.7088615231473452,0.4464152753353119,0.3967463554068326,0.8605966236485357
34000,0.7128766167796328,0.7076882549956723,0.7102729611010603,0.3363248109817505,0.39774292810506023,0.8613514203020946
36000,0.7375379421169672,0.683964926805404,0.7097419155807387,0.41289636492729187,0.38715422831969576,0.8653541298285433
38000,0.7275862336794849,0.705046475746058,0.7161390445465456,0.35726267099380493,0.38174544444431147,0.8654843278527002
38850,0.7357967630755547,0.6973469310954729,0.7160560615486867,0.39358198642730713,0.3805676940452812,0.8673458077115938
40000,0.7246366882103517,0.7164339743348511,0.7205119859514203,0.2762244939804077,0.3832777103017318,0.8665804544614816
42000,0.7421277000364495,0.7049109998871035,0.7230407577962458,0.4069553017616272,0.37543884827956686,0.8702048859447714
44000,0.7362506015119293,0.7139577766906259,0.7249328447462239,0.29894962906837463,0.37149423485358785,0.8702963764482331
44400,0.7356924556694954,0.7138373537048884,0.7246001459223861,0.35543346405029297,0.3733980666191159,0.8698829097498967
46000,0.7435567313806611,0.7128664433823806,0.7278882288296458,0.2774721384048462,0.3725868832395125,0.8722792571674892
48000,0.7446810170020277,0.718646746697776,0.7314322921653866,0.36488717794418335,0.3629961914305041,0.8739718314815303
